"name","gender","ethnicity","quality","call","city","jobs","experience","honors","volunteer","military","holes","school","email","computer","special","college","minimum","equal","wanted","requirements","reqexp","reqcomm","reqeduc","reqcomp","reqorg","industry"
"Aisha","female","afam","high",FALSE,"chicago",4,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"some",TRUE,"secretary",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"health/education/social services"
"Allison","female","cauc","high",FALSE,"chicago",4,8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"some",TRUE,"secretary",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"health/education/social services"
"Aisha","female","afam","low",FALSE,"chicago",4,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"business/personal services"
"Carrie","female","cauc","low",FALSE,"chicago",2,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"business/personal services"
"Aisha","female","afam","high",FALSE,"chicago",2,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Geoffrey","male","cauc","low",FALSE,"chicago",3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Matthew","male","cauc","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Tamika","female","afam","low",FALSE,"chicago",3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"none",TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Jill","female","cauc","high",FALSE,"chicago",2,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Latonya","female","afam","low",FALSE,"chicago",2,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Leroy","male","afam","high",FALSE,"chicago",3,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"none",FALSE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Todd","male","cauc","low",FALSE,"chicago",3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",FALSE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Allison","female","cauc","low",FALSE,"chicago",2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,"manager",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"trade"
"Carrie","female","cauc","low",FALSE,"chicago",3,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Greg","male","cauc","high",FALSE,"chicago",3,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"none",FALSE,"manager",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"trade"
"Keisha","female","afam","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Keisha","female","afam","high",FALSE,"chicago",3,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"none",FALSE,"manager",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"trade"
"Kristen","female","cauc","high",FALSE,"chicago",4,6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Lakisha","female","afam","high",FALSE,"chicago",3,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Tamika","female","afam","low",FALSE,"chicago",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",FALSE,"manager",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"trade"
"Allison","female","cauc","low",FALSE,"chicago",2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"finance/insurance/real estate"
"Keisha","female","afam","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"finance/insurance/real estate"
"Kristen","female","cauc","high",FALSE,"chicago",2,9,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"finance/insurance/real estate"
"Latonya","female","afam","high",FALSE,"chicago",3,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"finance/insurance/real estate"
"Brad","male","cauc","low",FALSE,"chicago",2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Jill","female","cauc","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"3",TRUE,"office support",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"business/personal services"
"Keisha","female","afam","low",FALSE,"chicago",3,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"3",TRUE,"office support",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"business/personal services"
"Keisha","female","afam","low",FALSE,"chicago",3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Lakisha","female","afam","high",FALSE,"chicago",3,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"3",TRUE,"office support",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"business/personal services"
"Laurie","female","cauc","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Meredith","female","cauc","low",FALSE,"chicago",2,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"3",TRUE,"office support",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"business/personal services"
"Tyrone","male","afam","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Anne","female","cauc","high",FALSE,"chicago",4,7,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"2",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"health/education/social services"
"Emily","female","cauc","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"2",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"health/education/social services"
"Latoya","female","afam","low",FALSE,"chicago",4,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"2",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"health/education/social services"
"Tamika","female","afam","high",FALSE,"chicago",2,7,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"2",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"health/education/social services"
"Brad","male","cauc","high",FALSE,"chicago",2,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Latoya","female","afam","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Kristen","female","cauc","low",FALSE,"chicago",3,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"health/education/social services"
"Latonya","female","afam","high",FALSE,"chicago",3,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"health/education/social services"
"Latoya","female","afam","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"health/education/social services"
"Laurie","female","cauc","high",FALSE,"chicago",3,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"none",FALSE,"secretary",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"health/education/social services"
"Allison","female","cauc","low",FALSE,"chicago",5,13,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"finance/insurance/real estate"
"Ebony","female","afam","low",FALSE,"chicago",2,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"finance/insurance/real estate"
"Jay","male","cauc","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"some",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Keisha","female","afam","high",FALSE,"chicago",5,7,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"finance/insurance/real estate"
"Laurie","female","cauc","high",FALSE,"chicago",4,21,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"some",FALSE,"secretary",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"finance/insurance/real estate"
"Tyrone","male","afam","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"some",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Anne","female","cauc","low",FALSE,"chicago",4,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"business/personal services"
"Lakisha","female","afam","high",FALSE,"chicago",3,5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"business/personal services"
"Latonya","female","afam","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"business/personal services"
"Meredith","female","cauc","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"business/personal services"
"Allison","female","cauc","high",FALSE,"chicago",2,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unknown"
"Carrie","female","cauc","low",FALSE,"chicago",2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"none",TRUE,"secretary",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Ebony","female","afam","high",FALSE,"chicago",3,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unknown"
"Kenya","female","afam","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Lakisha","female","afam","high",FALSE,"chicago",3,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"none",TRUE,"secretary",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Laurie","female","cauc","high",FALSE,"chicago",3,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"none",TRUE,"secretary",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"manufacturing"
"Aisha","female","afam","high",FALSE,"chicago",4,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"none",FALSE,"office support",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"business/personal services"
"Anne","female","cauc","low",FALSE,"chicago",4,5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"none",FALSE,"office support",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"business/personal services"
"Brendan","male","cauc","high",FALSE,"chicago",2,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"none",TRUE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Hakim","male","afam","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"none",TRUE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Latoya","female","afam","low",FALSE,"chicago",4,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"none",FALSE,"office support",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"business/personal services"
"Laurie","female","cauc","low",FALSE,"chicago",2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"none",TRUE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Laurie","female","cauc","high",FALSE,"chicago",3,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"none",FALSE,"office support",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"business/personal services"
"Leroy","male","afam","low",FALSE,"chicago",3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"retail sales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Anne","female","cauc","high",FALSE,"chicago",3,12,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"2",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"manufacturing"
"Kenya","female","afam","high",FALSE,"chicago",3,11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"2",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"manufacturing"
"Latonya","female","afam","low",FALSE,"chicago",2,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"2",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"manufacturing"
"Meredith","female","cauc","low",FALSE,"chicago",3,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"2",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"manufacturing"
"Jamal","male","afam","low",FALSE,"chicago",4,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"3",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Matthew","male","cauc","high",FALSE,"chicago",4,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"3",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Neil","male","cauc","low",FALSE,"chicago",2,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"3",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Tyrone","male","afam","high",FALSE,"chicago",5,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"3",FALSE,"manager",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Leroy","male","afam","high",FALSE,"chicago",3,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"some",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Todd","male","cauc","high",TRUE,"chicago",3,7,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"some",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Brad","male","cauc","low",FALSE,"chicago",3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Ebony","female","afam","low",FALSE,"chicago",2,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"some",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"health/education/social services"
"Jill","female","cauc","low",FALSE,"chicago",4,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"some",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"health/education/social services"
"Kristen","female","cauc","high",FALSE,"chicago",4,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"some",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"health/education/social services"
"Lakisha","female","afam","high",FALSE,"chicago",2,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Matthew","male","cauc","high",FALSE,"chicago",3,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Tamika","female","afam","high",FALSE,"chicago",6,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"some",TRUE,"secretary",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"health/education/social services"
"Tremayne","male","afam","low",FALSE,"chicago",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Aisha","female","afam","high",FALSE,"chicago",4,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Brett","male","cauc","high",TRUE,"chicago",3,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"some",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Darnell","male","afam","high",FALSE,"chicago",3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"some",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Emily","female","cauc","high",FALSE,"chicago",5,11,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Latonya","female","afam","low",FALSE,"chicago",2,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Sarah","female","cauc","low",FALSE,"chicago",4,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"none",TRUE,"secretary",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"manufacturing"
"Aisha","female","afam","high",FALSE,"chicago",4,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"5",TRUE,"supervisor",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"trade"
"Anne","female","cauc","high",FALSE,"chicago",4,7,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"5",TRUE,"supervisor",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"trade"
"Jermaine","male","afam","high",FALSE,"chicago",3,4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"2",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Neil","male","cauc","high",FALSE,"chicago",3,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"2",FALSE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Allison","female","cauc","high",FALSE,"chicago",4,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"1",FALSE,"secretary",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Anne","female","cauc","high",TRUE,"chicago",2,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"some",TRUE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Keisha","female","afam","high",FALSE,"chicago",5,6,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"1",FALSE,"secretary",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"health/education/social services"
"Latonya","female","afam","high",TRUE,"chicago",3,6,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"some",TRUE,"manager",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"trade"
"Latonya","female","afam","high",FALSE,"chicago",3,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Laurie","female","cauc","high",FALSE,"chicago",2,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"none",FALSE,"manager",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trade"
"Jay","male","cauc","high",FALSE,"chicago",2,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"2",TRUE,"manager",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"trade"
"Lakisha","female","afam","high",FALSE,"chicago",2,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"2",TRUE,"manager",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"trade"
